,query,nfr,nfr_id
112,class shall either non clinical class clinical class,functional requirement,5
113,non clinical class shall specify course name lecture room requirement instructor need,functional requirement,5
114,clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need,functional requirement,5
115,program administrator nursing staff member shall able create new program study,functional requirement,5
116,program study shall consist program name listing required class clinical non clinical must completed,functional requirement,5
117,program administrator nursing staff member shall ability specify class required program study,functional requirement,5
118,system shall able display report needed class given quarter cohort program program administrator nursing staff member planning purpose,functional requirement,5
119,report needed class shall include limited class offered number section needed number lab needed room type needed,functional requirement,5
120,class given cohort shall conflict regard time day offered,functional requirement,5
121,program administrator nursing staff member shall able add new clinical site system,functional requirement,5
122,clinical site information shall include limited name site contact person contact information,functional requirement,5
123,program administrator nursing staff member shall able add new clinical lab section existing clinical class system,functional requirement,5
124,clinical lab section shall include clinical site name class instructor day time lab,functional requirement,5
125,program administrator nursing staff member shall able add student registered clinical class clinical lab section class,functional requirement,5
126,system shall allow program administrator nursing staff member remove student clinical lab section,functional requirement,5
127,system shall allow program administrator nursing staff member move student one clinical lab section another clinical lab section corresponding clinical class,functional requirement,5
128,program administrator nursing staff member shall able cancel clinical lab section student registered clinical lab section,functional requirement,5
129,program administrator nursing staff member shall able add new nursing student system,functional requirement,5
130,staff member shall ability manage progress part time student includes modifying sequence class timeline class,functional requirement,5
131,system shall able display printable summary individual cohort include student enlisted program study sequence class cohort progress program timeline completion,functional requirement,5
132,system shall able display printable summary individual clinical site include information lab held site given quarter clinical site general information lab held location date time lab held,functional requirement,5
133,system shall able display printable summary individual clinical lab include limited class name class number lab section listing student enrolled instructor day time location,functional requirement,5
134,system shall able display printable summary individual nursing student include limited student name student id admission date class credit gpa cohort student enrolled,functional requirement,5
135,system shall able display printable summary system log,functional requirement,5
136,system shall contain contact information e mail phone number people relevant system including limited staff member student lecture instructor clinical lab instructor clinical site administrator,functional requirement,5
137,system use stored e mail address primary mean communicating information affected party,functional requirement,5
138,system notify affected party routine communication purpose including limited informing student upcoming offered class timeline schedule shall,functional requirement,5
139,system notify affected party change occur affecting clinicals including limited clinical section capacity change clinical section cancellation,functional requirement,5
140,system notify affected party change occur affecting class including limited class cancellation class section detail change change class offering given quarter,functional requirement,5
141,system notify affected party change occur affecting cohort including limited change sequence cohort program study change given week schedule lab cancelled week due instructor illness,functional requirement,5
142,system notify affected party change occur affecting specific student including limited changing student status full time part time moving student different clinical section,functional requirement,5
143,program administrator nursing staff member shall ability modify information relating cohort including cohort identifier program study preferred sequence class quarter cohort taking specific class,functional requirement,5
144,program administrator nursing staff member shall ability modify information relating program study within nursing department including program study name required class program study,functional requirement,5
145,program administrator nursing staff member shall ability modify information relating clinical site including clinical site name site contact person contact information address,functional requirement,5
146,program administrator nursing staff member shall ability modify information relating clinical lab section including clinical site name department section lab class instructor day time lab contact information,functional requirement,5
147,program administrator nursing staff member shall ability modify information relating nursing student including student id student name phone number e mail status full time part time program study,functional requirement,5
178,dispute system must accessible internal external user,functional requirement,5
179,dispute system must prevent user accessing dispute case belong cardholder base,functional requirement,5
180,dispute system facilitate direct data entry dispute case via user interface support real time response user,functional requirement,5
181,dispute system must provide different level access regard dispute case initiation follow action,functional requirement,5
182,dispute system shall provide view access capability authorized user application,functional requirement,5
183,dispute system shall provide update access capability authorized user application,functional requirement,5
184,dispute system must allow user select disputable transaction based age transaction user interface initiate dispute ticket retrieval request chargeback notification selected transaction,functional requirement,5
185,dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant,functional requirement,5
186,dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction,functional requirement,5
187,dispute system must allow user create three unique type ticket retrieval request three type ticket retrieval request 1 request original receipt 2 request copy receipt 3 request portfolio portfolio consists documentation would provide proof purchase documentation received car rental agency sale receipt,functional requirement,5
188,dispute system must prevent external user requesting original receipt request original receipt restricted internal user,functional requirement,5
189,dispute system must provide confirmation user upon creation ticket retrieval request contains following information dispute case number type retrieval requested copy original portfolio date merchant response due,functional requirement,5
190,dispute system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request result printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid,functional requirement,5
191,dispute system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due,functional requirement,5
192,dispute system shall prevent creation duplicate dispute request 100 time,functional requirement,5
193,dispute system shall accurately provide list possible reason code given transaction list possible reason code must derived based type transaction industry merchant belongs according business rule defined dispute system,functional requirement,5
194,dispute system must provide ability view existing dispute case,functional requirement,5
195,dispute system must provide search functionality search method must include ability search 1 dispute case number 2 merchant account number 3 cardmember account number 4 issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code,functional requirement,5
196,list dispute case meet entered search criterion must provided user list case must differentiate type status case color coding line item list example open case yellow closed case gray,functional requirement,5
197,dispute system shall provide user ability view history activity occurred dispute case,functional requirement,5
198,dispute system shall provide user ability follow dispute case via follow action list available follow action given dispute case must filtered status case access level user,functional requirement,5
199,dispute system shall record name user date activity creates modifies dispute case system detailed history action taken case including date user performed action must maintained auditing purpose,functional requirement,5
200,systematic non user initiated action occurs case dispute aging process case activity generated upon next logon user initiated dispute case must notified systematic action occurred dispute case,functional requirement,5
201,letter request must formatted according guideline specified print letter utility system,functional requirement,5
202,dispute case closed 6 month must purged online dispute database,functional requirement,5
240,user shall search preferred repair facility using vehicle vehicle location radius mile,functional requirement,5
241,vehicle data shall include vehicle year make model,functional requirement,5
242,vehicle location shall include street address city state zipcode,functional requirement,5
243,system shall resolve zipcode street address city state zipcode unknown,functional requirement,5
244,search radius shall 1 30 mile,functional requirement,5
245,system shall locate preferred repair facility highest rating input criterion,functional requirement,5
246,adjuster shall enter preferred repair facility estimate assignment,functional requirement,5
247,adjuster shall able override preferred repair facitlity estimate assignment,functional requirement,5
248,preferred repair facility shall returned user,functional requirement,5
249,system shall return list repair facility within radius preferred repair facility cannot determined,functional requirement,5
250,estimator shall search available recycled part using damaged vehicle part information,functional requirement,5
251,estimator shall search available recycled part using list preferred part supplier,functional requirement,5
252,system shall search available recycled part supplied vehicle part supplier,functional requirement,5
253,estimator shall search zipcode radius 30 mile part found preferred part supplier,functional requirement,5
254,system shall retain available recycled part supplier returned search,functional requirement,5
255,available recycled part information supplier shall returned user,functional requirement,5
256,estimator shall apply selected recycled part collision estimate,functional requirement,5
257,estimator shall apply recycled part collision estimate available part returned,functional requirement,5
258,adjuster shall review collision estimate,functional requirement,5
259,adjuster shall request recycled part audit collision estimate,functional requirement,5
260,recycled part search result provided estimator shall retrieved system,functional requirement,5
261,system shall generate audit report based available recycled part collision estimate,functional requirement,5
262,audit report shall include total number recycled part used estimate,functional requirement,5
263,audit report shall include number available recycled part original search result,functional requirement,5
264,audit report shall include percentage available recycled part used estimate,functional requirement,5
265,audit report shall include total score audit sum indivual line item,functional requirement,5
266,audit report shall displayed user,functional requirement,5
267,audit report shall available adjuster later point time,functional requirement,5
268,user shall select view preferred repair facility rating,functional requirement,5
269,current repair facility rating shall displayed user,functional requirement,5
270,system display blank set rating rating yet defined,functional requirement,5
271,user shall enter new rating based audit report,functional requirement,5
272,rating shall scale 1 10,functional requirement,5
273,rating shall include category attempted use recycled part actual use recycled part,functional requirement,5
274,user shall select save preferred repair facility rating,functional requirement,5
275,preferred repair facility rating shall saved system,functional requirement,5
323,product shall record meeting entry,functional requirement,5
324,product notify employee meeting invitation,functional requirement,5
325,product shall ability send meeting reminder employee,functional requirement,5
326,product shall assign organizer contact information meeting create,functional requirement,5
327,product record meeting acknowledgement,functional requirement,5
328,product shall store new conference room,functional requirement,5
329,product shall update existing conference room,functional requirement,5
330,product able delete conference room,functional requirement,5
331,product shall able store new room equipment,functional requirement,5
332,product update existing room equipment,functional requirement,5
333,product shall able delete room equipment,functional requirement,5
334,product shall allow organizer invite employee meeting,functional requirement,5
335,time conference room reserved conference room schedule shall updated reflect time date reservation,functional requirement,5
336,product shall record transportation status equipment reserved,functional requirement,5
337,product shall display map company building showing conference room location,functional requirement,5
338,product shall record updated meeting agenda,functional requirement,5
339,product shall send meeting confirmation meeting organizer,functional requirement,5
340,product shall display room equipment according search parameter,functional requirement,5
341,product shall display conference room according search parameter,functional requirement,5
342,product shall record different meeting type,functional requirement,5
343,product shall record equipment reserved,functional requirement,5
344,product shall notify building personnel equipment transport request,functional requirement,5
345,product allow priviledged user view meeting schedule multiple reporting view,functional requirement,5
346,product shall able send meeting notification via different kind end user specified method,functional requirement,5
347,product shall customizable look feel,functional requirement,5
348,product shall intuitive user interface,functional requirement,5
349,product display available status unreserved conference room,functional requirement,5
358,system shall allow generation inventory quantity adjustment document demand,functional requirement,5
359,system shall allow demand generation inventory quantity adjustment document since certain point time,functional requirement,5
360,iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredient accordingly,functional requirement,5
361,system shall allow entering storing modifying product formula,functional requirement,5
362,product formula shall allow use semi product formula,functional requirement,5
363,product formula ingredient shall allow defining substitutionary ingredient,functional requirement,5
364,product formula substitutionary ingredient shall entered automatically pfe subsystem,functional requirement,5
365,formula substitutionary ingredient shall kept persisted order,functional requirement,5
366,product shall allow entering storing modifying product menu used po terminal,functional requirement,5
367,pme subsystem shall allow building product menu based list product kept accounting system,functional requirement,5
368,pme subsystem shall allow keeping submenu within menu product within submenu managed persisted order,functional requirement,5
369,pme subsystem shall allow product exist one submenu,functional requirement,5
370,rms system shall window xp look feel use gui future making use intuitive,functional requirement,5
371,system shall generate inventory quantity adjustment document based product daily sale data product formula,functional requirement,5
372,system shall generate inventory quantity adjustment document automatically daily product sale data available,functional requirement,5
446,website allow customer search movie title actor director,functional requirement,5
447,viewing movie detail website display movie description actor director entered administrator,functional requirement,5
448,website shall request authorize credit card payment allowing user stream movie,functional requirement,5
449,shall able stream purchased movie via window medium player 2 day aftere purchase date,functional requirement,5
450,website shall allow customer browse movie category entered izogn administrator,functional requirement,5
451,website shall allow customer view review selected movie customer,functional requirement,5
452,website shall allow customer add movie review selected movie,functional requirement,5
453,website shall allow izogn administrator approve review posted customer,functional requirement,5
454,system allow customer pay streaming movie pre paid card,functional requirement,5
455,website shall allow customer purchase pre paid card 5 10 20 value either credit card mail payment option,functional requirement,5
456,system shall automatically update main page website every friday show 4 latest movie added website,functional requirement,5
457,system shall allow user update billing contact information via account section website,functional requirement,5
458,pre paid card shall distributed via email via printed paper card,functional requirement,5
459,registered customer purchase streaming movie,functional requirement,5
460,movie streamed customer purchased movie within 2 day time period stream movie,functional requirement,5
461,website must able support free trial period various parameter set izogn manager,functional requirement,5
462,streaming movie sale logged database accessible administrator,functional requirement,5
463,registered customer information shall stored maintained database even customer cancel account,functional requirement,5
464,daily usage statistic logged accessible administrator,functional requirement,5
465,owner shall free access streaming movie,functional requirement,5
474,vendor verify invalid lead,functional requirement,5
475,vendor submit credit validation record applied enterprise billing system,functional requirement,5
476,lead scored high range system supply lead data score enterprise system,functional requirement,5
477,lead washing functionality validate lead received web service valid data,functional requirement,5
478,lead washing functionality insert lead captured web service,functional requirement,5
479,lead score fall within high average score process ara functionality,functional requirement,5
480,lead score fall within medium average set manual verification enrollment coordinator eleads system,functional requirement,5
481,lead score fall within low average returned supplying vendor,functional requirement,5
482,lead washing functionality compile contact academic scoring information total score,functional requirement,5
483,lead washing functionality use parameter supplied corporate school score part lead,functional requirement,5
484,lead washing functionality return lead data supplied vendor along reason rejection,functional requirement,5
485,lead washing functionality interface lead data parameter maintained,functional requirement,5
486,lead washing functionality verify user authentication right make parameter update,functional requirement,5
487,lead washing functionality store potential lead duplicate returned enterprise system,functional requirement,5
488,prior submitting lead enterprise system lead washing functionality assign lead admission rep,functional requirement,5
489,lead washing functionality shall receive period list available rep enterprise system,functional requirement,5
505,product shall maintain list player,functional requirement,5
506,product shall allow user identify player,functional requirement,5
507,game initiated product shall make player assigned game unavailable selection list player,functional requirement,5
508,product shall allow user remove list player time,functional requirement,5
509,product shall make inactive player unavailable selection list player,functional requirement,5
510,product shall remove player inactive 24 hour list player,functional requirement,5
511,product shall allow player initiate game selecting another available player list player,functional requirement,5
512,game initiated product shall display defensive grid player,functional requirement,5
513,game initiated product shall display offensive grid player,functional requirement,5
514,product shall prevent player viewing offensive defensive grid player,functional requirement,5
515,game initiated product shall allow player position 5 ship respective defensive grid,functional requirement,5
516,product shall allow player position ship horizontally grid,functional requirement,5
517,product shall allow player position ship vertically grid,functional requirement,5
518,product shall allow player position ship diagonally grid,functional requirement,5
519,product shall prevent player overlapping ship grid,functional requirement,5
520,player positioned 5 ship defensive grid product shall define status player first turn,functional requirement,5
521,turn product shall identify one player offensive status one player defensive status,functional requirement,5
522,product shall maintain status player turn either offensive defensive,functional requirement,5
523,start turn product shall notify player status,functional requirement,5
524,turn product shall allow offensive player define shot,functional requirement,5
525,shot product shall examine defensive grid defensive player determine whether shot hit miss,functional requirement,5
526,shot product shall notify player whether shot hit miss,functional requirement,5
527,shot product shall mark shot hit miss defensive grid defensive player,functional requirement,5
528,shot product shall mark shot hit miss offensive grid offensive player,functional requirement,5
529,hit result sinking ship product shall notify player ship sunk,functional requirement,5
530,hit result sinking ship product shall mark ship sunk defensive grid defensive player,functional requirement,5
531,hit result sinking ship product shall indicate type ship sunk defensive grid defensive player,functional requirement,5
532,hit result sinking ship product shall mark ship sunk offensive grid offensive player,functional requirement,5
533,shot marked hit product shall allow offensive player define shot,functional requirement,5
534,shot marked miss product shall change status offensive player defensive,functional requirement,5
535,shot marked miss product shall change status defensive player offensive,functional requirement,5
536,product shall continue assign turn game ended,functional requirement,5
537,product shall end game hit offensive player result sinking last defensive player ship previously marked sunk,functional requirement,5
538,product shall allow player end game time game,functional requirement,5
539,game ended product shall notify player game ended,functional requirement,5
540,notification game ending include reason game ended e player game player ended game,functional requirement,5
541,game ended product shall allow player identify available player list player,functional requirement,5
542,game ended product shall allow player remove list player,functional requirement,5
93,authorized user shall access student personal information,security,4
99,system shall built secure possible malicious interference,security,4
596,wcs system shall allow automatic logins user cooky containing wcs login information user stored user computer,security,4
231,adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,security,4
232,collision estimator shall search recycled part user without collision estimator role shall access search recycled part,security,4
92,program administrator nursing staff member people shall access clinical site detail,security,4
629,holder current security clearance enter national headquarters building,security,4
5,product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt,security,4
355,system shall granularly control access right major subsystem possible assign access right subsystem independently,security,4
316,product shall ensure database data corresponds data entered user conference room reservation system contain information entered user,security,4
100,system shall use organization standard virus protection software help monitor threat,security,4
95,authorized user shall access portion system interface campusconnect,security,4
437,credit card information encrypted database,security,4
577,product shall audit capability product shall store message minimum one year audit transaction tracking purpose,security,4
236,system shall prevent malicious attack including denial service,security,4
628,employee shall allowed update salary information attempt shall reported security administrator,security,4
432,data integrity script run weekly basis verify integrity database,security,4
434,system shall notify customer change information policy,security,4
437,credit card information encrypted database,security,4
633,user shall receive notification profile change via preferred communication method record profile information modified,security,4
625,employee shall forced change password next time log changed within length time established password expiration duration,security,4
97,system shall basic data integrity checking reduce possibility incorrect invalid data introduced,security,4
170,dispute application shall manipulate view business data user direct access data file database,security,4
97,system shall basic data integrity checking reduce possibility incorrect invalid data introduced,security,4
233,valid data shall entered system invalid data shall entered system,security,4
233,valid data shall entered system invalid data shall entered system,security,4
96,fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect,security,4
597,team owner need use username password order authenticated reach team owner page,security,4
234,one insurance company shall able view another insurance company claim data,security,4
551,product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot,security,4
316,product shall ensure database data corresponds data entered user conference room reservation system contain information entered user,security,4
230,adjuster request recycled part audit report user without adjuster role shall request recycled part audit,security,4
163,user update access must able initiate dispute request,security,4
633,user shall receive notification profile change via preferred communication method record profile information modified,security,4
167,addition new user modification user access shall recorded user report,security,4
168,user account revoked instantiated system administrator,security,4
95,authorized user shall access portion system interface campusconnect,security,4
231,adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,security,4
630,access permission system data may changed system data administrator,security,4
93,authorized user shall access student personal information,security,4
99,system shall built secure possible malicious interference,security,4
163,user update access must able initiate dispute request,security,4
627,payroll system shall ensure employee salary data accessed authorized user payroll system shall distinguish authorized non authorized user,security,4
95,authorized user shall access portion system interface campusconnect,security,4
162,dispute application shall ensure user appropriate access level allowed initiate dispute request,security,4
429,authorized personnel access sale information,security,4
91,authorized user shall access clinical site information,security,4
631,password shall never viewable point entry time,security,4
231,adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,security,4
236,system shall prevent malicious attack including denial service,security,4
427,authorized personnel access customer record database,security,4
55,every user system shall authenticated authorized,security,4
54,registered realtor shall able access system,security,4
627,payroll system shall ensure employee salary data accessed authorized user payroll system shall distinguish authorized non authorized user,security,4
433,website shall make user aware information practice collection data via privacy policy accessible page website,security,4
437,credit card information encrypted database,security,4
314,product shall ensure company employee external user company approved user id may product access 100 logons shall either company employee external user company approved user id,security,4
99,system shall built secure possible malicious interference,security,4
633,user shall receive notification profile change via preferred communication method record profile information modified,security,4
99,system shall built secure possible malicious interference,security,4
56,product shall prevent data incorrect data introduced,security,4
167,addition new user modification user access shall recorded user report,security,4
95,authorized user shall access portion system interface campusconnect,security,4
96,fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect,security,4
577,product shall audit capability product shall store message minimum one year audit transaction tracking purpose,security,4
551,product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot,security,4
425,registered customer purchase streaming movie,security,4
551,product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot,security,4
433,website shall make user aware information practice collection data via privacy policy accessible page website,security,4
428,administrator activate pre paid card,security,4
355,system shall granularly control access right major subsystem possible assign access right subsystem independently,security,4
629,holder current security clearance enter national headquarters building,security,4
317,product shall prevent input malicious data product adjacent hardware software system data shall remain 100 uncorrupted time malicious data input product,security,4
5,product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt,security,4
163,user update access must able initiate dispute request,security,4
168,user account revoked instantiated system administrator,security,4
50,product shall capable handling existing 1000 user number expected grow 5 time within next year,security,4
232,collision estimator shall search recycled part user without collision estimator role shall access search recycled part,security,4
100,system shall use organization standard virus protection software help monitor threat,security,4
98,system shall protect private information accordance organization information policy,security,4
434,system shall notify customer change information policy,security,4
162,dispute application shall ensure user appropriate access level allowed initiate dispute request,security,4
433,website shall make user aware information practice collection data via privacy policy accessible page website,security,4
436,customer information stored secure database accessible authorized personnel,security,4
170,dispute application shall manipulate view business data user direct access data file database,security,4
431,website shall protect intentional abuse notify administrator occurrence,security,4
162,dispute application shall ensure user appropriate access level allowed initiate dispute request,security,4
235,product shall free computer virus,security,4
400,credit card information secured server accessible authorized izogn administrator information encrypted database,security,4
96,fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect,security,4
233,valid data shall entered system invalid data shall entered system,security,4
162,dispute application shall ensure user appropriate access level allowed initiate dispute request,security,4
100,system shall use organization standard virus protection software help monitor threat,security,4
5,product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt,security,4
234,one insurance company shall able view another insurance company claim data,security,4
629,holder current security clearance enter national headquarters building,security,4
596,wcs system shall allow automatic logins user cooky containing wcs login information user stored user computer,security,4
319,product shall ability receive automatic software update new threat emerge 100 customer able receive automatic software update transmitted installed product,security,4
167,addition new user modification user access shall recorded user report,security,4
598,commissioner authorized user per league adjust league setting,security,4
619,authorized user shall access rf system user exist uas system rf system assigned role shall access rf system use,security,4
577,product shall audit capability product shall store message minimum one year audit transaction tracking purpose,security,4
230,adjuster request recycled part audit report user without adjuster role shall request recycled part audit,security,4
577,product shall audit capability product shall store message minimum one year audit transaction tracking purpose,security,4
633,user shall receive notification profile change via preferred communication method record profile information modified,security,4
431,website shall protect intentional abuse notify administrator occurrence,security,4
631,password shall never viewable point entry time,security,4
317,product shall prevent input malicious data product adjacent hardware software system data shall remain 100 uncorrupted time malicious data input product,security,4
95,authorized user shall access portion system interface campusconnect,security,4
166,dispute system shall generate user report detail new user added change existing user access level report reviewed auditing purpose,security,4
236,system shall prevent malicious attack including denial service,security,4
426,customer stream movie purchased within 2 day viewing period,security,4
629,holder current security clearance enter national headquarters building,security,4
355,system shall granularly control access right major subsystem possible assign access right subsystem independently,security,4
426,customer stream movie purchased within 2 day viewing period,security,4
627,payroll system shall ensure employee salary data accessed authorized user payroll system shall distinguish authorized non authorized user,security,4
92,program administrator nursing staff member people shall access clinical site detail,security,4
628,employee shall allowed update salary information attempt shall reported security administrator,security,4
231,adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,security,4
233,valid data shall entered system invalid data shall entered system,security,4
170,dispute application shall manipulate view business data user direct access data file database,security,4
577,product shall audit capability product shall store message minimum one year audit transaction tracking purpose,security,4
97,system shall basic data integrity checking reduce possibility incorrect invalid data introduced,security,4
400,credit card information secured server accessible authorized izogn administrator information encrypted database,security,4
236,system shall prevent malicious attack including denial service,security,4
54,registered realtor shall able access system,security,4
231,adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,security,4
354,system shall maintain consistent security change user password permission take affect part system,security,4
93,authorized user shall access student personal information,security,4
91,authorized user shall access clinical site information,security,4
167,addition new user modification user access shall recorded user report,security,4
235,product shall free computer virus,security,4
50,product shall capable handling existing 1000 user number expected grow 5 time within next year,security,4
93,authorized user shall access student personal information,security,4
435,system shall reveal private information compliance organization information policy,security,4
632,unsuccessful attempt user access item data shall recorded audit trail,security,4
620,user access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent privilege permission assigned role,security,4
233,valid data shall entered system invalid data shall entered system,security,4
626,user must change initially assigned login authentication information password immediately first successful login initial password may never reused,security,4
630,access permission system data may changed system data administrator,security,4
233,valid data shall entered system invalid data shall entered system,security,4
93,authorized user shall access student personal information,security,4
49,product shall able support 1000 simultaneous user,security,4
597,team owner need use username password order authenticated reach team owner page,security,4
97,system shall basic data integrity checking reduce possibility incorrect invalid data introduced,security,4
631,password shall never viewable point entry time,security,4
435,system shall reveal private information compliance organization information policy,security,4
55,every user system shall authenticated authorized,security,4
431,website shall protect intentional abuse notify administrator occurrence,security,4
577,product shall audit capability product shall store message minimum one year audit transaction tracking purpose,security,4
425,registered customer purchase streaming movie,security,4
314,product shall ensure company employee external user company approved user id may product access 100 logons shall either company employee external user company approved user id,security,4
355,system shall granularly control access right major subsystem possible assign access right subsystem independently,security,4
429,authorized personnel access sale information,security,4
235,product shall free computer virus,security,4
552,product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access advertise empty time slot,security,4
68,system shall easy use program administrator nursing staff member,usability,2
74,system shall use symbol word naturally understandable user community,usability,2
604,user shall able view least 25 nfl player statistic point page,usability,2
285,product shall give user feedback necessary 80 user surveyed report product accurately confirms action,usability,2
286,product shall allow user select chosen language one target market country,usability,2
52,90 untrained realtor shall able install product device without printed instruction,usability,2
648,new warehouse clerk shall able enter customer order system within typical 8 hour business day,usability,2
2,projected data must readable 10x10 projection screen 90 viewer must able read event activity data viewing distance 30,usability,2
388,user navigate maximum 4 page create account website,usability,2
309,every registered user access product support site via internet 70 registered user shall find solution problem within 5 minute using support site,usability,2
75,verbiage used within system shall consistent standard english terminology national nursing community,usability,2
70,system shall help user avoid making mistake scheduling class clinicals nursing student,usability,2
559,product shall provide error tracking service product shall help system administrator dba resolve transaction error 99 time,usability,2
602,new user shall able navigate league team page within 30 second reaching start page,usability,2
290,product shall allow intuitive searching available conference room,usability,2
647,people training understanding english shall able use product,usability,2
501,product shall intuitive self explanatory nine ten user shall able successfully complete game training,usability,2
543,system shall easy use caller supervisor caller supervisor must able accomplish system task within 2 minute,usability,2
559,product shall provide error tracking service product shall help system administrator dba resolve transaction error 99 time,usability,2
644,product shall self explanatory intuitive service agent shall able produce price quote within 10 minute encountering product first time,usability,2
72,system shall intuitive program administrator nursing staff member,usability,2
215,user shall easily locate instruction using product user help found within 90 system,usability,2
72,system shall intuitive program administrator nursing staff member,usability,2
287,product shall allow customization start page view preference,usability,2
287,product shall allow customization start page view preference,usability,2
71,number mistake noted student shall decreased 50 first year,usability,2
605,application shall ask user confirm dropping player trading player performing action,usability,2
288,employee able successfully use product within minute informally navigating product le 15 minute user shall able successfully setup meeting reserve conference room,usability,2
583,interface shall easy use 90 user able successfully use system generate report first use interface adhere ibm usability standard,usability,2
309,every registered user access product support site via internet 70 registered user shall find solution problem within 5 minute using support site,usability,2
284,product shall easy use 90 user able successfully reserve conference room within 5 minute product use,usability,2
151,100 cardmember merchant service representative shall use dispute application regularly 2 day training course,usability,2
212,product shall increase productivity collision estimator 80 collision estimator shall agree productivity increase within 1 month using product,usability,2
213,user shall feel satisfied using product 85 user satisfied product,usability,2
70,system shall help user avoid making mistake scheduling class clinicals nursing student,usability,2
285,product shall give user feedback necessary 80 user surveyed report product accurately confirms action,usability,2
649,system shall useable program developer five week training,usability,2
68,system shall easy use program administrator nursing staff member,usability,2
74,system shall use symbol word naturally understandable user community,usability,2
151,100 cardmember merchant service representative shall use dispute application regularly 2 day training course,usability,2
646,trained order entry clerk shall ability submit complete order product chosen supplier catalog maximum 7 minute average order entry time 4 minute,usability,2
70,system shall help user avoid making mistake scheduling class clinicals nursing student,usability,2
